date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:38	20235/20235	---M--	200	added ('OK')	image/gif	etag:%221621447037%22	https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/141753/small.gif	C:/Mes%20Sites%20Web/official/img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/141753/small.gif	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:39	1849/1849	---M--	200	added ('OK')	image/gif	etag:%221659014513%22	https://img-hws.y8.com/assets/spinner-5f5b271a335601ed1f03c9ea4af9e708517e8fa4977229307ca47e02b5ab84a3.gif	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/spinner-5f5b271a335601ed1f03c9ea4af9e708517e8fa4977229307ca47e02b5ab84a3.gif	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:39	1714/1714	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatar-small-23a2c01fdf14d24f56a155bd184db08ac21046d69d958c488e1e3c8d00fadc32.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatar-small-23a2c01fdf14d24f56a155bd184db08ac21046d69d958c488e1e3c8d00fadc32.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:39	1334/1334	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/male/1-48x48-e7b70373a1323b243c41013c1b94a59a49290351d82a1e9207eba857efefe616.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/male/1-48x48-e7b70373a1323b243c41013c1b94a59a49290351d82a1e9207eba857efefe616.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:40	1507/1507	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/female/1-48x48-aaa73d820506008cab449f73d37a320da93efae96b1b7665a7b7636468e092f8.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/female/1-48x48-aaa73d820506008cab449f73d37a320da93efae96b1b7665a7b7636468e092f8.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:40	799/799	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/animal/1-48x48-622b924cc64931ca1d8aab5a9223ce875a730ed702b8088a18e97e0a2c138383.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/animal/1-48x48-622b924cc64931ca1d8aab5a9223ce875a730ed702b8088a18e97e0a2c138383.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:40	952/952	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/monster-1/1-48x48-ed9ecc89b2d72f0ecc0b091b761697ede3495954616e8a2f7a57de18deea676a.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/monster-1/1-48x48-ed9ecc89b2d72f0ecc0b091b761697ede3495954616e8a2f7a57de18deea676a.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:40	617/617	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/monster-2/1-48x48-fa05d737df7e9a1e4555d3dedfcd66b0db0aadb6c0509c34f892f82a2f60fa92.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/monster-2/1-48x48-fa05d737df7e9a1e4555d3dedfcd66b0db0aadb6c0509c34f892f82a2f60fa92.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:40	1449/1449	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/male/2-48x48-1e80111d0078dc16a2b986987102bcdb8cad32d4b471b8017440c7be039cc0f9.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/male/2-48x48-1e80111d0078dc16a2b986987102bcdb8cad32d4b471b8017440c7be039cc0f9.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:41	1907/1907	---M--	200	added ('OK')	image/png	etag:%221659014511%22	https://img-hws.y8.com/assets/avatars/female/2-48x48-959378509839044ddd275b79c77b746619588036df7efbc2046d9b470d0f4a5a.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/avatars/female/2-48x48-959378509839044ddd275b79c77b746619588036df7efbc2046d9b470d0f4a5a.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
